user_id,movie_id,comment
0,78,The most bold experience.
user_id,movie_id,comment
0,81,Flawless compelling picture.
user_id,movie_id,comment
1,94,The most magical experience.
user_id,movie_id,comment
1,62,Creative beautiful picture.
user_id,movie_id,comment
2,63,A smooth funny story
user_id,movie_id,comment
2,13,Creative compelling picture.
user_id,movie_id,comment
4,0,"A colorful, vibrant riveting picture."
user_id,movie_id,comment
4,10,A unmissiable passionate epic.
user_id,movie_id,comment
4,9,An unforgettable magical epic.
user_id,movie_id,comment
4,32,very breathtaking experience.
user_id,movie_id,comment
4,30,What a memorable passionate story
user_id,movie_id,comment
5,65,The most bold visual.
user_id,movie_id,comment
5,61,The most soulful inspiring experience.
user_id,movie_id,comment
5,55,"A colorful, vibrant riveting flick."
user_id,movie_id,comment
6,69,An unforgettable awesome experience.
user_id,movie_id,comment
6,27,The most stunning time.
user_id,movie_id,comment
6,9,A surprisingly vibrant riveting flick.
user_id,movie_id,comment
9,65,Absolutely the most riveting experience.
user_id,movie_id,comment
9,55,The most soulful brilliant journey
user_id,movie_id,comment
9,7,very compelling story
user_id,movie_id,comment
10,7,What a memorable awesome visual.
user_id,movie_id,comment
10,52,What a memorable beautiful flick.
user_id,movie_id,comment
10,85,A smooth entertaining journey
user_id,movie_id,comment
10,82,Absolutely compelling picture.
user_id,movie_id,comment
11,61,Absolutely breathtaking epic.
user_id,movie_id,comment
11,39,Flawless inspiring visual.
user_id,movie_id,comment
11,92,A unmissiable compelling story
user_id,movie_id,comment
11,91,very amazing time.
user_id,movie_id,comment
11,51,A smooth brilliant epic.
user_id,movie_id,comment
12,71,Innovative magical experience.
user_id,movie_id,comment
12,36,Innovative dazzling epic.
user_id,movie_id,comment
14,83,Creative inspiring story
user_id,movie_id,comment
14,96,A nice dazzling epic.
user_id,movie_id,comment
14,94,"A colorful, vibrant thrilling epic."
user_id,movie_id,comment
14,23,The greatest entertaining journey
user_id,movie_id,comment
14,16,"A colorful, vibrant riveting flick."
user_id,movie_id,comment
15,75,very brilliant visual.
user_id,movie_id,comment
15,22,An unforgettable passionate story
user_id,movie_id,comment
15,45,An unforgettable emotional picture.
user_id,movie_id,comment
15,56,A surprisingly vibrant beautiful journey
user_id,movie_id,comment
15,88,The most funny flick.
user_id,movie_id,comment
16,89,Such a fun entertaining experience.
user_id,movie_id,comment
16,14,A clever stunning visual.
user_id,movie_id,comment
17,43,An unforgettable riveting journey
user_id,movie_id,comment
17,8,"A colorful, vibrant compelling visual."
user_id,movie_id,comment
17,95,The greatest riveting epic.
user_id,movie_id,comment
17,71,Innovative funny time.
user_id,movie_id,comment
19,63,Absolutely the most emotional epic.
user_id,movie_id,comment
19,29,Innovative awesome time.
user_id,movie_id,comment
20,30,Absolutely the most funny story
user_id,movie_id,comment
20,97,The most thrilling visual.
user_id,movie_id,comment
21,97,The greatest breathtaking journey
user_id,movie_id,comment
21,16,An unforgettable magical story
user_id,movie_id,comment
21,90,The most riveting picture.
user_id,movie_id,comment
21,2,Creative amazing picture.
user_id,movie_id,comment
22,73,A smooth stunning flick.
user_id,movie_id,comment
22,64,A smooth amazing time.
user_id,movie_id,comment
23,60,A good magical visual.
user_id,movie_id,comment
23,74,An unforgettable entertaining journey
user_id,movie_id,comment
23,21,Creative funny journey
user_id,movie_id,comment
24,44,A unmissiable magical picture.
user_id,movie_id,comment
24,10,Flawless compelling visual.
user_id,movie_id,comment
24,38,The greatest entertaining flick.
user_id,movie_id,comment
25,87,An unforgettable compelling visual.
user_id,movie_id,comment
26,73,Innovative brilliant experience.
user_id,movie_id,comment
26,72,What a memorable brilliant journey
user_id,movie_id,comment
26,26,The most magical story
user_id,movie_id,comment
26,47,very emotional time.
user_id,movie_id,comment
26,88,A nice passionate picture.
user_id,movie_id,comment
27,24,The most soulful awesome time.
user_id,movie_id,comment
27,2,A good breathtaking experience.
user_id,movie_id,comment
27,32,Flawless emotional journey
user_id,movie_id,comment
27,74,A nice emotional time.
user_id,movie_id,comment
28,23,"A colorful, vibrant funny story"
user_id,movie_id,comment
28,4,A good bold picture.
user_id,movie_id,comment
28,11,A unmissiable magical journey
user_id,movie_id,comment
28,0,A clever beautiful visual.
user_id,movie_id,comment
28,76,Flawless funny flick.
user_id,movie_id,comment
29,45,The most inspiring picture.
user_id,movie_id,comment
30,43,A clever passionate picture.
user_id,movie_id,comment
31,88,The most soulful brilliant picture.
user_id,movie_id,comment
31,90,An unforgettable stunning journey
user_id,movie_id,comment
31,20,Such a fun thrilling time.
user_id,movie_id,comment
31,42,"A colorful, vibrant emotional picture."
user_id,movie_id,comment
31,5,A good breathtaking time.
user_id,movie_id,comment
32,9,Innovative bold visual.
user_id,movie_id,comment
32,3,"A colorful, vibrant emotional flick."
user_id,movie_id,comment
33,15,Absolutely dazzling picture.
user_id,movie_id,comment
33,72,A nice entertaining journey
user_id,movie_id,comment
33,40,A clever inspiring epic.
user_id,movie_id,comment
34,20,A surprisingly vibrant compelling time.
user_id,movie_id,comment
35,83,Flawless funny flick.
user_id,movie_id,comment
36,68,"A colorful, vibrant amazing time."
user_id,movie_id,comment
